Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1024
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1024
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1024
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1024
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1024
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1024
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	1024
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	1024
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	1024
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	512
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	512
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	512
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	512
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	512
